CompanyName,Phone,Fax,WebSite,Account_type,Account_Industries,Description,AccountSite,AcountNumber,AnnualRevenue,Ownership,Billingstreet,Shippingstreet,Billingcity,Shippingcity
Nano1,(859) 292-4000,,www.cobbinc.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano2,(859) 578-4200,,www.egcconst.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano3,(859) 578-4200,,www.egcconst.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano4,(111) 111-1111,(222) 222-2222,www.Eliteres.com,Analyst,Agriculture,hi Elite,www.Eliteres.com,2222223330,,Eliteres,hyd,Granite Park III,jublihills,Chicago
Nano5,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Suite 500,,Chicago
Nano6,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Suite 500,,Chicago
Nano7,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Suite 500,,Chicago
Nano8,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano9,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano10,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano11,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano12,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano13,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
Nano14,(859) 292-4000,,www.Eliteres.com,,Agriculture,,www.Eliteres.com,,,Eliteres,,Granite Park III,,Chicago
